2025-12-03 00:01:15,824 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes()),2025-12-02T23:00:00Z)
2025-12-03 00:01:15,924 [daml.index.db.threadpool.connection.indexer-0] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes()),2025-12-02T23:00:00Z)
2025-12-03 00:05:55,731 [canton-env-ec-100] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::1220cfe8b259... authenticated new token with expiry 2025-12-03T00:05:55.730466Z
2025-12-03 00:05:57,030 [canton-env-ec-100] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::1220cfe8b259... authenticated new token with expiry 2025-12-03T00:05:57.029366Z
2025-12-03 00:06:10,993 [canton-env-ec-36] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206a2d6de6... authenticated new token with expiry 2025-12-03T00:06:10.992177Z
2025-12-03 00:06:15,679 [canton-env-ec-78] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-12-03 00:06:15,682 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 00:06:15,742 [canton-env-ec-100] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::1220cfe8b259... subscribes from counter=12
2025-12-03 00:06:17,018 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-12-03 00:06:17,019 [canton-env-ec-78] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 00:06:17,091 [canton-env-ec-100] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::1220cfe8b259... subscribes from counter=5
2025-12-03 00:06:30,982 [canton-env-ec-78] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::1220cfe8b259 - The sequencer subscription has been terminated by the server.
2025-12-03 00:06:30,983 [canton-env-ec-80] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::1220cfe8b259 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 00:06:31,046 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206a2d6de6... subscribes from counter=8
2025-12-03 01:01:15,814 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes()),2025-12-03T00:00:00Z)
2025-12-03 01:01:15,817 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes()),2025-12-03T00:00:00Z)
2025-12-03 01:05:35,781 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::1220cfe8b259... authenticated new token with expiry 2025-12-03T01:05:35.781092Z
2025-12-03 01:05:37,068 [canton-env-ec-80] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::1220cfe8b259... authenticated new token with expiry 2025-12-03T01:05:37.068137Z
2025-12-03 01:05:51,064 [canton-env-ec-100] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206a2d6de6... authenticated new token with expiry 2025-12-03T01:05:51.060762Z
2025-12-03 01:05:55,749 [canton-env-ec-78] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-12-03 01:05:55,749 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 01:05:55,831 [canton-env-ec-100] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::1220cfe8b259... subscribes from counter=12
2025-12-03 01:05:57,045 [canton-env-ec-42] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-12-03 01:05:57,045 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 01:05:57,119 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::1220cfe8b259... subscribes from counter=5
2025-12-03 01:06:11,013 [canton-env-ec-42] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::1220cfe8b259 - The sequencer subscription has been terminated by the server.
2025-12-03 01:06:11,014 [canton-env-ec-78] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::1220cfe8b259 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-12-03 01:06:11,077 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206a2d6de6... subscribes from counter=8
2025-12-03 01:11:36,614 [canton-env-ec-42] INFO  c.d.c.n.g.ApiRequestLogger:participant=sandbox tid:1b7bb1ac8f661a44b7f56daa561ec72a - Request c.d.l.a.v.CommandCompletionService/CompletionStream by /127.0.0.1:38551: cancelled. Cancellations can be caused by timeouts, explicit cancellation by the client, network errors, etc.
2025-12-03 01:11:36,616 [canton-env-ec-78] INFO  c.d.c.n.g.ApiRequestLogger:participant=sandbox tid:a1f264f1a775b8582aabe7cef099d5c2 - Request c.d.l.a.v.TransactionService/GetTransactionTrees by /127.0.0.1:38551: cancelled. Cancellations can be caused by timeouts, explicit cancellation by the client, network errors, etc.
2025-12-03 01:11:36,617 [canton-env-ec-36] INFO  c.d.c.n.g.ApiRequestLogger:participant=sandbox tid:a7eaa5f21ca6d0449ed0c5b5c55b19ae - Request c.d.l.a.v.CommandCompletionService/CompletionStream by /127.0.0.1:38551: cancelled. Cancellations can be caused by timeouts, explicit cancellation by the client, network errors, etc.
2025-12-03 01:11:36,617 [canton-env-ec-37] INFO  c.d.c.n.g.ApiRequestLogger:participant=sandbox tid:13cb175f6afb2860ad7cc73098faa8b6 - Request c.d.l.a.v.TransactionService/GetTransactionTrees by /127.0.0.1:38551: cancelled. Cancellations can be caused by timeouts, explicit cancellation by the client, network errors, etc.
